SourceName,SourceLink,SourceDescription,ProcessingNotes,Added by,Distribute,Parent
Sprott simplest quadratic chaotic flow Ben,,,"a=2.017
x0=[-0.9], y0=[0], z0=[0.5]
L = [200 500 1000 2000 4000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott simplest cubic chaotic flow Ben,,,"a=2.028
x0=[0], y0=[0.96], z0=[0]
L = [200 500 1000 2000 4000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Simplest piecewise linear chaotic flow Ben,,,"a=0.6
x0=[0], y0=[-0.7], z0=[0]
L = [200 500 1000 2000 4000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Double Scroll Ben,,,"a=0.8
x0=[0.01], y0=[0.01], z0=[0]
L = [200 500 1000 2500 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Conservative Flows,"Described in Appendix A.6 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,1,
Sprott Driven Pendulum Ben,,,"A=1, Omega=0.5
x0=[0], y0=[0]
Different timescales, x and y
//** X:
L = [1000 2000 5000 10000 20000 50000]
Transient removed: eta=100
//** Y:
L = [200 500 1000 2500 5000]
Transient removed: eta=200
//
N = [1000 5000 10000]
ODE45, tolerance 10^-7
This wasn't a terribly stable way of doing things: changes in the length of the run give different quantitative results...",Ben Fulcher,1,Sprott Conservative Flows
Sprott simplest driven chaotic flow Ben,,,"Omega=1.88
x0=[0], y0=[0]
L = [250 500 1000 2000 5000 7000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-7",Ben Fulcher,1,Sprott Conservative Flows
Sprott Nosé-Hoover Oscillator Ben,,,"a=1
x0=[0], y0=[5], z0=[0]
L = [250 500 1000 2000 5000 7500]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott Conservative Flows
Sprott Labyrinth Chaos Ben,,,"x0=[0.1], y0=[0], z0=[0]
L = [250 500 1000 5000 10000 20000 40000 80000]
N = [1000 5000 10000]
There is some quite long-scale structure (like the wandering of the driven pendulum).
This cannot, however, be probed so well due to memory constraints.
Transient removed: eta=100
ODE45, tolerance 10^-7",Ben Fulcher,1,Sprott Conservative Flows
Sprott Hénon-Heiles System Ben,,,"x0=[0.499], y0=[0], v0=[0], w0=0.03160676...
L = [200 500 1000 2500 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott Conservative Flows
Frietas Stochastic Sine Map Ben,,,"b=[1 2 3]
q=[0.01 0.05 0.1 0.2 0.5]
and take 4 occurances of each type: [1 2 3 4]
initial condition is 2, but since transient is removed (first 100 points), 
this shouldn't matter so much",Ben Fulcher,1,
Freitas nonlinear moving average filter Ben,,,"I have just used uniform random numbers for both a and b between -5 and 5,
Getting a new value at each iteration, and with each interation receiving two occurances [1 2]
Initial condition is also uniform continuous random [-5 5]",Ben Fulcher,1,
Physionet,,"Goldberger AL, Amaral LAN, Glass L, Hausdorff JM, Ivanov PCh, Mark RG, Mietus JE, Moody GB, Peng CK, Stanley HE. PhysioBank, PhysioToolkit, and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals. Circulation 101(23):e215-e220 [Circulation Electronic Pages; http://circ.ahajournals.org/cgi/content/full/101/23/e215]; 2000 (June 13). PMID: 10851218; doi: 10.1161/01.CIR.101.23.e215",,Ben Fulcher,11,
2002 Physionet Challenge,http://www.physionet.org/challenge/2002/ and www.physionet.org/challenge/2002/dataset/,A challenge from PhysioNet and Computers in Cardiology 2002.,,Ben Fulcher,11,
Synthetic Physionet data,"http://www.physionet.org/physiobank/database/synthetic/tns/
Also see the following paper: Hu K, Ivanov PCh, Chen Z, Carpena P, Stanley HE. Effects of trends on detrended fluctuation analysis. Phys Rev E 2001; 64:011114.
Chen Z, Ivanov PCh, Hu K, Stanley HE. Effects of nonstationarities on detrended fluctuation analysis. Phys Rev E 2002; 65:041107.","The data in this collection include: (1) 6 surrogate stationary signals with different correlations; (2) 7 surrogate correlated signals with linear, sinusoidal and power-law trends; and (3) 15 surrogate correlated signals with different types of nonstationarities.",,Ben Fulcher,11,
HYD-09 science team,,,removed -99s and 0s from the data (assumed to be labels for missing pts),Ben Fulcher,14,
Daily Meteorology Data from USQ,http://www.sci.usq.edu.au/staff/dunn/Datasets/applications/climatology/qldrain.html,"Univeristy of Southern Queensland
data is daily: mint/maxt (min and max temperature), rain = rainfall,
radn is radiation is MJ/m^2, pan is pan evaporation, vpd is maimum vapour pressure deficit (hPa)",,Ben Fulcher,4,
Gait data from Max,,Obtained from Max Little. Maybe physionet?,,Ben Fulcher,14,
M Koenig Astronomical Data,http://astro.uni-tuebingen.de/groups/time/time_series_EXO/,"I've extracted some X-ray light curves of Active Galactic Nuclei from the 
EXOSAT archive. In lack of better - convincing - methods we used white
noise (mean, variance from the observed light curve) to fill the small
gaps in the lightucrves (the duty cycle of the original light curves was 
above 95%). The files contain a 2-dimensional array with the binnumber and the countrate. 
The mean countrate have been already subtracted. The bintime for all lightcurves
is 30.0 sec. For a more detailed information on an observation the users
should write an e-mail to me. The dimension of the array is noted in the last line of the file.",,Ben Fulcher,12,
Santa Fé Time Series Competition,http://www-psych.stanford.edu/~andreas/Time-Series/SantaFe.html,,,Ben Fulcher,5,
Santa Fé Time Series Competition: Dataset A,,"% Data Set A: Laser generated data
Data generated by a far-infrared laser in a chaotic state.
The data was contributed by Udo Huebner, Phys.-Techn. Bundesanstalt, Braunschweig, Germany, and were collected primarily by N.
B. Abraham and C. O. Weiss. These data were recorded from a Far-Infrared-Laser in a chaotic state; here is the description from
Dr. Huebner:
The measurements were made on an 81.5-micron 14NH3 cw (FIR) laser, pumped optically by the P(13) line of an N2O laser via the
vibrational aQ(8,7) NH3 transition. The basic laser setup can be found in Ref. 1. The intensity data was recorded by a LeCroy
oscilloscope. No further processing happened. The experimental signal to noise ratio was about 300 which means slightly under
the half bit uncertainty of the analog to digital conversion.
The data is a cross-cut through periodic to chaotic intensity pulsations of the laser. Chaotic pulsations more or less follow the theoretical Lorenz model (see References) of a two level system.",,Ben Fulcher,5,Santa Fé Time Series Competition
Santa Fé Time Series Competition: Dataset B,,"Recorded from a patient in the sleep laboratory of the Beth Israel Hospital in Boston, Massachusetts.
Original Description: This is a multivariate data set recorded from a patient in the sleep laboratory of the Beth Israel
Hospital in Boston, Massachusetts (data submitted by David Rigney and Ary Goldberger). The file has been split into two
sequential parts, B1.dat, and B2.dat,; the lines in the files are spaced by 0.5 seconds. The first column is the heart rate, the
second is the chest volume (respiration force), and the third is the blood oxygen concentration (measured by ear oximetry). The
heart rate was determined by measuring the time between the QRS complexes in the electrocardiogram, taking the inverse, and
then converting this to an evenly sampled record by interpolation.
Reason for inclusion:
 1. Heart rate variability There is growing (but still controversial) evidence that the observed variations in the heart rate
might be related to a low-dimensional governing mechanism; understanding this mechanism is obviously very important in order to
understand its failures (ie, heart attacks).
 2. Multi-dimensional data sets These data provide simultaneous measurements of a number of potentially interacting variables;
it is an open question how best to use the extra information to learn about how the variables interact. Most importantly, there
is interest in verifying and understanding the coupling between respiration and the heart rate.
 3. Non-stationary data These data were recorded with as much care as is possible, but the experimental system (the sleeping
patient) is obviously non-stationary. A successful analysis of these data must attempt to distinguish the presumed internal
dynamics from changes in the patient's state.",,Ben Fulcher,5,Santa Fé Time Series Competition
Santa Fé Time Series Competition: Dataset C,,"Tickwise bids for the exchange rate from Swiss francs to US dollars from August 7, 1990 to April 18, 1991
These data are the tickwise bids for the exchange rate from Swiss francs to US dollars; they were recorded by a currency trading
group from August 7, 1990 to April 18, 1991.",,Ben Fulcher,5,Santa Fé Time Series Competition
Santa Fé Time Series Competition: Dataset D,,"The motion of a damped, driven particle in a four-dimensional, four well potential
Relatively long series of known high-diminsional dynamics (between the extremes of Data Set A and Data Set C) with weak
nonstationarity. The motion of a damped, driven particle in a four-dimensional, four well potential.
9 degrees of freedom","** ACTUALLY ONE BIG TIMESERIES, WITH D2 following immediately from D1 **",Ben Fulcher,5,Santa Fé Time Series Competition
Santa Fé Time Series Competition: Dataset E,,"Measurements of the light curve (time variation of the intensity) of the variable white dwarf star PG1159-035 during March 1989
This is a set of measurements of the light curve (time variation of the intensity) of the variable white dwarf star PG1159-035
during March 1989. Data are integrations at 10s intervals. Noisy data, discontinuous, probably linear, possibly nonlinear",,Ben Fulcher,5,Santa Fé Time Series Competition
Santa Fé Time Series Competition: Dataset F,,"J. S. Bach's last (unfinished) fugue
A full discussion of this fugue and the reasons for our choosing it are given in the bookchapter by Dirst and Weigend, ""Baroque Forecasting.""
I have removed the zeros (i.e. rests in the music) so that all that appears is the parts where music is playing. Thus the multivariate nature of the data set is lost in this
representation -- i.e. the four parts of the time series are no longer coupled in time, and are of different lengths",,Ben Fulcher,5,Santa Fé Time Series Competition
StatLib,http://lib.stat.cmu.edu/datasets/,"Data, Software and News from the Statistics Community",,Ben Fulcher,3,
Shumway Stoffer Time Series Analysis and Its Applications 2nd Ed,http://www.stat.pitt.edu/stoffer/tsa2/tsa2.html,"From ""Time Series Analysis and Its Applications, with R Examples"", Shumway and Stoffer (2nd Edition)",,Ben Fulcher,,
RivDIS,"http://daac.ornl.gov/RIVDIS/rivdis.html
http://daac.ornl.gov/RIVDIS/guides/rivdis_guide.html","Global River Discharge Database (RivDIS v1.1)
Monthly average discharge in cubic meters/sec
A whole bunch of GLOBAL RIVER DISCHARGE data, 1807-1991
The Global Monthly River Discharge Data Set contains monthly averaged discharge measurements for 1018 stations located throughout the world. The period of record varies widely from station to station with a mean of 21.5 years. The data are derived from the published UNESCO archives for river discharge and checked against information obtained from the Global Runoff Center in Koblenz, Germany, through the U.S. National Geophysical Data Center in Boulder, Colorado.
No specific information is given in the original sources. Typically, river discharge is measured through the use of a rating curve that relates local water level height to water flow. This rating curve is used to estimate discharge from the observed water level. The rating curves are periodically rechecked and recalibrated through on-site measurement of discharge and river stage.
Vorosmarty, C. J., B. M. Fekete, and B. A. Tucker. 1998. Global River Discharge, 1807-1991, V[ersion]. 1.1 (RivDIS). Data set. Available on-line [http://www.daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. doi:10.3334/ORNLDAAC/199.","I've filtered out the ones without NaNs and that are more than 100 long
Station numbers are appended on each filename
STATION.DAT can be used to decode the numbers into the actual stations
I've changed RIVDIS_1534.dat, removing the initial transient.",Ben Fulcher,,
"Climatic Research Unit, University of East Anglia",http://www.cru.uea.ac.uk/data/,"Datasets are managed by a variety of people and projects within CRU. Some are available on-line, others must be requested from the person responsible for them.
These datasets are made available under the Open Database License",,Ben Fulcher,6,
"Lamb/Jenkins Weather Types, CRU",http://www.cru.uea.ac.uk/cru/data/lwt.htm,"Professor H.H. Lamb subjectively classified each day's weather over the British Isles from 1861
to February 1997. An objective scheme to classify the daily circulation according to the Lamb weather typing scheme was
developed by Jenkinson and Collison (1977). The objective scheme uses daily grid-point mean sea level pressure data.
The series from 1880 to the present day is given here.",I've removed the non-recorded days (given by -9) and thus may have distorted the time series,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"Madras Monthly Sea Level, CRU",http://www.cru.uea.ac.uk/cru/data/madrasmslp.htm,,Could be rubbish: I've removed all the values below 6000 (most of which I assume signal a NaN) -- this may disturb the periodicitiy of the time series,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"Mediterranian Oscillation Index (MOI), CRU",http://www.cru.uea.ac.uk/~andrewh/moi.html,"The MOI is defined by Palutikof et al. (1996) and Conte et al. (1989)
as the normalized pressure difference between Algiers (36.4°N, 3.1°E) and Cairo (30.1°N, 31.4°E) A second version of the
index can be calculated from Gibraltar's Northern Frontier (36.1°N, 5.3°W) and Lod Airport in Israel (32.0°N, 34.5°E)
(Palutikof et al., 2003). Here data is presented for both variants, using pressure interpolated (16 point Bessel) from
NCEP/NCAR reanalysis data.",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"North Sea Caspian Pattern (NCP), CRU",http://www.cru.uea.ac.uk/~andrewh/ncp.html,"The NCP dataset presented here is calculated from the normalised 500hpa pressure difference between averages of North Sea
(0°E, 55°N and 10°E, 55°N) and North Caspian (50°E, 45°N and 60°E, 45°N) centres of action. This is the same formulation
used as Kutiel and Benaroch (2002) who selected these locations by use of linear correlation between pressure grid points
and a GIS approach.",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"NAO (North Atlantic Oscillation), CRU",http://www.cru.uea.ac.uk/cru/data/nao.htm,"The NAO is traditionally defined as the normalized pressure difference between a station on the Azores and one on Iceland.
An extended version of the index can be derived for the winter half of the year by using a station in the southwestern
part of the Iberian Peninsula (Hurrell, 1995). Here we give data for SW Iceland (Reykjavik), Gibraltar and Ponta Delgada
(Azores). The NAO calculated from Gibraltar and SW Iceland is also given (Jones et al., 1997).",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"Southern Oscillation Index (SOI), CRU",http://www.cru.uea.ac.uk/cru/data/soi.htm,"The SOI is defined as the normalized pressure difference between Tahiti and Darwin. There are several
slight variations in the SOI values calculated at various centres. Here we calculate the SOI based on the
method given by Ropelewski and Jones (1987). It uses a second normalization step, and was the Climate
Analysis Centre's standard method in 1987. The reader is also referred to Allan et al. (1991) and Können et
al. (1998) for details of the early pressure sources and methods used to compile the series from 1866 onwards.",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"NAO Modifications, CRU",http://www.cru.uea.ac.uk/cru/data/vinther/,,,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"NAO Reconstructions, CRU",http://www.cru.uea.ac.uk/cru/data/naojurg.htm,"Reconstructed monthly NAO index back to December 1658 and seasonal estimates 1500-1658. The NAO index is defined as the
standardized (1901-1980) difference between the SLP average of four gridpoints on a 5x5 longitude-latitude grid over the
Azores and over Iceland.
The reconstructions are based on a Principal Component Regression Analysis. More details can be found in Luterbacher et
al. (2002)",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"Trans Polar Index (TPI), CRU",,"The TPI is defined as the normalized pressure difference between Hobart and Stanley. The index was first suggested by
Pittock (1980,1984) and has been updated and analysed further by Jones et al. (1999).",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"NCEP/NCAR, CRU",http://www.cru.uea.ac.uk/cru/data/ncep/,"Daily data from 1948--2007 have been appended to each other to form a long time series
It's a 73x37 grid of the globe, the numbers refer to which spot on this grid the time series
is taken.
See readme for more information about the latitudes/longitudes, etc.",,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
"Air Temperature, NCEP/NCAR, CRU",http://www.cru.uea.ac.uk/cru/data/ncep/qs_eurasia/daily/surface/air.sig995/,Air temperature taken at a number of places on the grid,All processed by Ben Fulcher from the raw files using readgrid.m,Ben Fulcher,6,"NCEP/NCAR, CRU"
"Precipitation rate, NCEP/NCAR, CRU",http://www.cru.uea.ac.uk/cru/data/ncep/qs_eurasia/daily/sflux/prate.sfc/,,readgrid_precip.m performs the combination of the individual files across a number of locations on the grid.,Ben Fulcher,6,"NCEP/NCAR, CRU"
"Relative humidity, NCEP/NCAR, CRU",http://www.cru.uea.ac.uk/cru/data/ncep/qs_eurasia/daily/pressure/rhum/rhum_700/,,,Ben Fulcher,6,"NCEP/NCAR, CRU"
"Sea level pressure, NCEP/NCAR, CRU",http://www.cru.uea.ac.uk/cru/data/ncep/qs_eurasia/daily/surface/slp/,,,Ben Fulcher,6,"NCEP/NCAR, CRU"
Hawaii Ocean Time-series Data Organization & Graphical System,http://hahana.soest.hawaii.edu/hot/hot-dogs/,"The following data was obtained from a depth 0--5000 from 1988--2007
From Station 2 (ALOHA)
BATS -- Zooplankton","Done by sieve size
Assumed equal time steps even though this is not completely correct,
although the time space is sufficiently sampled that this can be considered approximately correct
Rather than linear interpolating across larger periods of missing data points (leaving an artifact)
I think the most appropriate thing is to just remove the missing values, which I've done",Ben Fulcher,6,"NCEP/NCAR, CRU"
Q-Tagesmittel,Obtained from Max Little,Austrian River flow data,,Ben Fulcher,,
Max's hydrologist friend,,The Churn at Perrots Brook is an Environment Agency gauging station no 039108. The Churn is a tributary of the Thames which flows through Cirencester,"I've excluded the missing points, perhaps ruining the periodicities in the original data
I've only used the mean; have not used the max or min",Ben Fulcher,,
British Atmospheric Data Centre (BADC),http://badc.nerc.ac.uk/data/dataset_index/?source=data,,,Ben Fulcher,,
NIMROD,http://badc.nerc.ac.uk/view/badc.nerc.ac.uk__ATOM__dataent_nimrod,"It's a 164km x 175km 1km resolution gridded slice of atmospheric water droplet density (at I think about 5km height, but I can check this), over the Thames Valley region of the UK. I believe that there is a frame like this every 5 mins, 288 frames per day. ","I have changed all negative values to zero
I took 20 points on the 164x175 grid of NIMROD: points
1) 15, 2) 6540, 3) 13763, 4) 14296, 5) 15145, 6) 16089, 7) 16493,
8) 16727, 9) 17581, 10) 19995, 11) 22999, 12) 23402, 13) 24257, 14) 24416, 
15) 24839, 16) 25228, 17) 25855, 18) 26680, 19) 28382, 20) 28412
The `station number' (see above) is also given at the end of the filename
I then assembled a time series across 2007, for which there is 5-minutely data.
First: summed over days, making 365-long daily time series.
Second: summed over hours, making 8760-long hourly time series
Third: the full series over random lengths of time, from 1 day up to 2 months. In this case the time period is indicated as from day <i> to day <j> by 'd<i>-<j>' in the filename",Ben Fulcher,,British Atmospheric Data Centre (BADC)
MIDAS Rainfall Data,http://badc.nerc.ac.uk/view/badc.nerc.ac.uk__ATOM__dataent_ukmo-midas,"Land surface and marine surface observations data from the Met Office station network and other world wide stations as stored in the Met Office MIDAS database. Data are available for the period 1853 to present. The dataset comprises daily and hourly weather measurements, hourly wind parameters, max and min air temperatures, soil temperatures, sunshine duration and radiation measurements and daily, hourly and sub-hourly rain measurements, some climatology data and marine observations (including sea surface temperature, swell and wave associated parameters).",,Ben Fulcher,,British Atmospheric Data Centre (BADC)
MIDAS 2000-2007,,,"2000-2007: Cropped to first 2750 points, to remove NaNs from the end of the record.
Chosen the points that have the least NaNs
Filenames are in the form q<>; <> is the number of replaced NaNs (resampled at random from the time series)
The number following '_' is the 'station' number",Ben Fulcher,,MIDAS Rainfall Data
MIDAS 1990-1999,,,"There were 767 time series with zero NaNs over this decade -- I have used these
So no need for processing any missing data in this selection
They're 3652 long time series",Ben Fulcher,,MIDAS Rainfall Data
MIDAS 1980-1989,,,There were 929 time series with no NaNs -- all listed here,Ben Fulcher,,MIDAS Rainfall Data
MIDAS 1950-2000,,,"Well the data goes way back but I thought I'd get some long time series
To sample different scales rather than just amassing huge numbers of 
decade-long time series
The full 50 year time series -- 50 of them
Pretty long, ~18 000 points",Ben Fulcher,,MIDAS Rainfall Data
MIDAS snips,,,"Snippets taken from these time series of varying length
from 500-15000 long time series subsegments of the full series
100 iterations of this `sampling': as follows
l indicates the length of the series and the _<> number stands for the `station'
    (which is selected from one of the stations above)",Ben Fulcher,,MIDAS Rainfall Data
HADLEY,http://www.metoffice.gov.uk/hadobs/,"UK Met Office
Rainfall and Temperature data; either monthly or daily
The daily time series are long, approaching 30000 points,
but there are only a few of them…",,Ben Fulcher,,
Northern Hemisphere Teleconnections,Max Little,STANDARDIZED NORTHERN HEMISPHERE TELECONNECTION INDICES,,Ben Fulcher,,
Max Crude Oil,Max Little,daily WTI World Crude Oil Price spot prices from 1983--2008,,Ben Fulcher,,
Yahoo Finance,http://uk.finance.yahoo.com/,,"I have only used time series that look suitable
When missing values are linearly interpolated from the local neighbourhood, 'z_<>' labels the number of points that have been altered.
HL -- the difference between the daily highs and the daily lows
V -- the volume (traded, I assume)
Op -- the opening prices",Ben Fulcher,2,
Yahoo Finance Shares,http://uk.finance.yahoo.com/,,Most don't have missing values in this set. A few had missing portions of data and weren't included,Ben Fulcher,2,Yahoo Finance
Yahoo Finance Sectors,http://uk.finance.yahoo.com/,,,Ben Fulcher,2,Yahoo Finance
US Oil Data,http://www.eia.gov/petroleum/data.cfm,,,Ben Fulcher,,
US Oil Refinery Stocks,http://www.eia.gov/dnav/pet/pet_stoc_ref_dc_nus_mbbl_m.htm,,,Ben Fulcher,,US Oil Refinery Stocks
US Oil Retail Gasoline and Diesel Prices,http://www.eia.gov/dnav/pet/pet_pri_gnd_dcus_nus_w.htm,,,Ben Fulcher,,US Oil Refinery Stocks
World Crude Oil Prices,http://tonto.eia.doe.gov/dnav/pet/pet_pri_wco_k_w.htm,(data no longer available),"These are all weekly, and most start in 1978 -- 20/3/2009
I've processed so as to only include the longest portion of time series that is indeed weekly -- the older portion of data was yearly at best",Ben Fulcher,,US Oil Refinery Stocks
NYMEX Futures Prices,http://www.eia.gov/dnav/pet/pet_pri_fut_s1_d.htm,,,Ben Fulcher,,US Oil Refinery Stocks
"Japanese meteorology Zaiki, CRU",http://www.cru.uea.ac.uk/cru/data/japan/,"Monthly Temperature and Pressure data from Japan
We have recovered instrumental temperature and pressure observations from Tokyo covering the periods 1825-1828, 1839-1855, and 1872-1875; from Yokohama covering the periods 1860-1871 and 1874; from Osaka covering the periods 1828-1833 and 1869-1871; and from Kobe covering the periods 1869-1871 and 1875-1888. The newly recovered records contain data before the 1870s, which is a period where, until recently, no instrumental data in Japan were believed to exist. Their addition to the previous backward extension of Japanese series, as based on the recently recovered intermittent Dejima/Nagasaki series 1819-1878, implies that the nineteenth-century extension of the Japanese instrumental record no longer contains major temporal gaps. The recovered data were used for a preliminary calculation of the west-Japan temperature (WJT) series, which is a representative temperature series for the area. The existence of a warm epoch in the 1850s over W-Japan and a downward temperature trend till the early twentieth century, as previously inferred from documentary data, is confirmed from the WJT data. The pressure data implies that the temperature differences between the nineteenth and twentieth centuries are at least partly caused by a change in atmospheric circulation.","I've removed the old block of data if there's an obvious section that's bad or is without readings. Where there is the odd missing data point, I've averaged the value for that month from the previous and next years values for that month.",Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
Andreas S. Weigend Time Series Data,http://www-psych.stanford.edu/~andreas/Time-Series/Data/,,,Ben Fulcher,3,
LeBaron Exchange Rates,http://www-psych.stanford.edu/~andreas/Time-Series/Data/Exchange.Rates.Daily,"Daily exchange rates
These data were given to ASW by Blake LeBaron who writes:
The exchange rate file is in the following format:
date day bp cd dm jy sf
Normalization etc is described in
@INPROCEEDINGS{W:NATO,
 AUTHOR      =""Andreas S. Weigend and Bernardo A. Huberman 
               and David E. Rumelhart"",
 TITLE       =""Predicting Sunspots and Exchange Rates
               with Connectionist Networks"",
 BOOKTITLE   =""Nonlinear Modeling and Forecasting "",
 YEAR        =""1992"",
 PAGES       =""395-432"",
 EDITOR      =""M. Casdagli and S. Eubank"",
 PLACE       =""Redwood City, CA"",
 PUBLISHER   =""Addison-Wesley""},0","Removed the NaNs, which may ruin the time pattern",Ben Fulcher,3,Andreas S. Weigend Time Series Data
CRU UK Meteorology,http://www.cru.uea.ac.uk/cru/data/riverflow/,,,Ben Fulcher,6,"Climatic Research Unit, University of East Anglia"
Malia Mason Recall Data,"Private data provided by Malia Mason, cf. http://www.maliamason.com",,,Ben Fulcher,,
Max speech data,,Provided by Max Little,,Ben Fulcher,,
Max stationary phenomes,"Data provided by Max Little, cf. http://www.eng.ox.ac.uk/samp/members/max/publications/little_thesis.pdf","Stationary phonemes sampled at 16kHz, from healthy controls and those with a range of voice disorders.",,Ben Fulcher,,
Audio archive speech,"http://alt-usage-english.org/audio_archive.shtml
http://alt-usage-english.org/speechexamples.html","Speech with some different accents
Labeled appropriately for each passage of text:
`bfc' = Bother, father caught...
`ferd' = I teach Ferdinand
`nw' = The North Wind and The Sun
`rain' = The Rainbow Passage
`arth' = Arthur the Rat","Some are deleted because of bad .wav files.
All have been reconverted to wave files using iTunes at 24kHz, 8 bit mono
Then processed, downsampled usually to ~ 2 second snippets at a sampling rate
that gives about a 10000 length time series",Ben Fulcher,,
Ben iTunes,,Music from Ben Fulcher's iTunes library,"I've converted all to .WAV files sampled at 24kHz, 8bit mono
Can be downsample to whatever rate in MATLAB, with different random portions taken from a variety of tracks from different genres.
The first part of each filename is the title of the song (for more info see the iTunes playlist)
The next is the length of the snippet in seconds
Next (F) is the sampling rate in kHz
Next (b) is the bitrate. I assume this is correct -- unless the resampling changes the bitrate?",Ben Fulcher,,
Ben music snippets,,"Takes random length snippets from a random music file of a specified minimum/maximum length and randomly selected from a range
of downsampling ratios.",I used 'processing_sound.m' to do the data processing,Ben Fulcher,,Ben iTunes
Ben music downsampled,,"I've resampled every piece of music to fit in 10 000 samples! :)
Unrecognizable to the ear, sure; And it's such low frequency information, but *it isn't nothing!*",,Ben Fulcher,,Ben iTunes
Ben music podcast snippets,,"Snippets from podcasts -- a psychology one, a comedy Australian radio one, and a Ricky Gervais one.",cf. 'processing_sound.m' used to take snippets from music files above,Ben Fulcher,,Ben iTunes
Ben podcast downsampled,,massively downsampled podcast recordings,cf. Ben music downsampled,Ben Fulcher,,Ben iTunes
Sound Jay,http://www.soundjay.com,,"I've resampled to 24kHz, 8bit mono, as for the music above
Then I've resampled down for sound effects that are larger than 10000 time points
Then I've removed any zero (<1E-6) regions on either end of the time series.
I took sounds from different sections of the website.",Ben Fulcher,3,
Sound Jay button sounds,http://www.soundjay.com/button-sounds-1.html,,,Ben Fulcher,3,Sound Jay
Sound Jay communication sounds,http://www.soundjay.com/communication-sounds.html,,,Ben Fulcher,3,Sound Jay
Sound Jay human sounds,http://www.soundjay.com/human-sounds.html,,,Ben Fulcher,3,Sound Jay
Sound Jay household sounds,http://www.soundjay.com/household-sounds.html,,,Ben Fulcher,3,Sound Jay
Sound Jay mechanical sounds,http://www.soundjay.com/mechanical-sounds.html,,,Ben Fulcher,3,Sound Jay
Sound Jay nature sounds,http://www.soundjay.com/nature-sounds.html,,,Ben Fulcher,3,Sound Jay
Sound Jay transportation sounds,http://www.soundjay.com/transportation-sounds.html,,,Ben Fulcher,3,Sound Jay
Text processing Ben,,Extracted sentence length sequences from a variety of publicly-available texts,"There are a number of outputs taken from each text:
_slc_ Sentence Length time series: total number of Characters
_slnsc_ Sentence Length time series: number of Non-Space Characters
_slw_ Sentence Length time series: Total number of Words. (i.e. words per sentence)
_wl_ Word Length time series. This can be huge.
If time series are longer than 30000 (word length time series), the first 15000 portion is saved and the label _L_ (long) is added slc and slnsc are very similar looking time series, on average slc is just a scaled amplitude version of slnsc. In light of this I've NOT saved the non-spaced versions.",Ben Fulcher,5,
Literature.org,http://www.literature.org/,"Carroll: Alice's Adventures in Wonderland
Carroll: Hunting of the Snark
Carroll: Through the Looking Glass
Dickens: A Christmas Carol
Dickens: The Cricket on the Hearth
Dickens: The Chimes
Verne: Round the Moon
Voltaire: Candide","I've just copied and pasted the text of each chapter into one large file. That's it.
I abandoned this method when I found you could download the whole thing in plaintext
Filenames are of the form (TXT_<>_lo_)",Ben Fulcher,5,Text processing Ben
